,Unnamed: 0,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
82,349,LINK-013676,Manhattan,40.765995,-73.957578,Live,01/08/2018,10/25/2017,corner,58
83,350,LINK-014273,Queens,40.691902,-73.863262,Live,08/09/2017,05/20/2017,block,8
84,351,LINK-012188,Manhattan,40.76221,-73.981881,Live,04/04/2018,06/11/2017,corner,93
85,352,LINK-000032,Brooklyn,40.67762,-73.979738,Live,04/03/2017,02/24/2017,corner,115
86,353,LINK-014181_Old,Manhattan,40.789445,-73.973867,Live,05/24/2017,04/15/2017,corner,54
87,354,LINK-001495,Manhattan,40.791943,-73.973425,Live,07/07/2016,05/27/2016,corner,6
88,355,LINK-018105,Brooklyn,40.679987,-73.949473,Live,06/09/2017,04/28/2017,block,19
0,356,LINK-010997,Manhattan,40.846875,-73.935653,Installed,,12/06/2017,corner,72
1,357,LINK-000963,Manhattan,40.782528,-73.980586,Live,06/27/2016,05/25/2016,corner,162
2,358,LINK-010897,Manhattan,40.800781,-73.946241,Live,01/25/2017,10/15/2016,corner,20
3,359,LINK-010682,Manhattan,40.789541,-73.969644,Installed,,05/07/2018,corner,13
4,360,LINK-006039,Manhattan,40.833447,-73.94174,Live,07/21/2016,07/15/2016,corner,60
5,361,LINK-011583,Bronx,40.860027,-73.893343,Live,03/30/2017,12/06/2016,corner,26
6,362,LINK-001505,Manhattan,40.794896,-73.971856,Live,07/20/2017,06/19/2017,corner,46
7,363,LINK-010982,Manhattan,40.80069,-73.961946,Live,04/20/2018,02/08/2018,corner,47
8,364,LINK-013157,Manhattan,40.801949,-73.949259,Live,02/06/2017,12/21/2016,corner,32
9,365,LINK-000116,Manhattan,40.744243,-73.989016,Live,11/08/2016,10/01/2016,corner,179
10,366,LINK-000398,Manhattan,40.764513,-73.977195,Live,05/08/2017,02/18/2017,corner,190
11,367,LINK-000077,Bronx,40.862855,-73.904547,Live,03/30/2017,02/18/2017,corner,13
12,368,LINK-014004,Manhattan,40.724925,-74.005795,Installed,,07/31/2018,corner,92
13,369,LINK-000284,Manhattan,40.743093,-73.979813,Live,06/24/2016,05/21/2016,corner,114
14,370,LINK-001715,Staten Island,40.570635,-74.109918,Live,12/09/2016,11/14/2016,corner,4
